Modelling Realm - Primary,Branded Variable Name,Variable name,CMIP7 Compound Name,Description,Units (from Physical Parameter),Dimensions,NorESM3 name (dependency),CMIP7 Freq.,notes,,
land,acetone_tavg-u-hxy-lnd,acetone,land.acetone.tavg-u-hxy-lnd.mon.glb,Emission flux of acetone,kg m-2 s-1,longitude latitude time,MEG_acetone,mon,,,
land,,acetonepft,land.acetoneVgt.tavg-u-hxy-multi.mon.glb,Emission flux of acetone by vegetation type,kg m-2 s-1,longitude latitude pft time,,mon,not possible - clm x pft,MEG_acetone,
land,albedo_tavg-u-hxy-lnd,albedo,land.albedo.tavg-u-hxy-lnd.mon.glb,Gridcell Broadband albedo,%,longitude latitude time,FSR/FSDS,mon,,,
land,albedoVgt_tavg-u-hxy-multi,albedopft,land.albedoVgt.tavg-u-hxy-lnd.mon.glb,Vegtype level Broadband Albedo,%,longitude latitude pft time,,mon,not possible clm x pft,FSR/FSDS,
land,alt_tavg-u-hxy-lnd,alt,land.alt.tavg-u-hxy-lnd.mon.glb,Active layer thickness,m,longitude latitude time,ALT,mon,,,
land,burntFractionAll_tavg-u-hxy-u,burntArea,land.burntFractionAll.tavg-u-hxy-u.mon.glb,Burnt Area Fraction,%,longitude latitude time,FATES_WILDFIRE_BURNFRAC,mon,,,
land,,burntareapeatTotal,land.burntFractionPeat.tavg-u-hxy-u.mon.glb,Burnt Area Fraction from Peat Fire,%,latitude longitude time,,mon,,,
land,,burntareaPft,land.burntFractionVgt.tavg-u-hxy-multi.mon.glb,Burnt Area Fraction by PFT,kg m-2 s-1,latitude longitude pft time,,mon,,,
land,burntFractionAll_tavg-u-hxy-u,burntareaTotal,land.burntFractionAll.tavg-u-hxy-u.mon.glb,Burnt Area Fraction,%,latitude longitude time,,mon,,FATES_WILDFIRE_BURNFRAC * FATES_FRAC,duplicate
land,,canopyheightTotal,land.canopyHeight.tavg-u-hxy-lnd.yr.glb,Mean Canopy Height,m,latitude longitude time,,yr,,,
land,,ccfuelTotal,land.combustCompleteFuelClass.tavg-u-hxy-multi.mon.glb,Combustion Completeness of Different Fuel Classes,,latitude longitude fuelclass time,,mon,,,
land,cCwd_tavg-u-hxy-lnd,cCwd,land.cCwd.tavg-u-hxy-lnd.yr.glb,Carbon in Coarse Woody Debris,kg m-2,longitude latitude time,(FATES_CWD_ABOVEGROUND_DC(1:4) + FATES_CWD_BELOWGROUND_DC(1:4),yr,,,
land,cFuelClass_tavg-u-hxy-multi,cfuelTotal,land.cFuelClass.tavg-u-hxy-multi.mon.glb,Carbon in Different Fuel Classes,kg m-2,latitude longitude fuelclass time,FATES_FUEL_AMOUNT_FC,mon,,,
land,ch4_tavg-u-hxy-lnd,ch4,land.ch4.tavg-u-hxy-lnd.mon.glb,Total methane flux,kg m-2 s-1,longitude latitude time,CH4PROD/1000,mon,,,
land,cLeaf_tavg-u-hxy-lnd,cLeaf,land.cLeaf.tavg-u-hxy-lnd.yr.glb,Carbon in Leaves,kg m-2,longitude latitude time,FATES_LEAFC,yr,,,
land,cLitter_tavg-u-hxy-lnd,cLitter,land.cLitter.tavg-u-hxy-lnd.yr.glb,Carbon in Above-ground Litter Pool,kg m-2,longitude latitude time,FATES_LITTER_AG_CWD_EL(1:1) + FATES_LITTER_AG_FINE_EL(1:1),yr,,,
land,,cLitterpft,land.cLitterVgt.tavg-hxy-multi.yr.glb,Vegtype level Carbon in Litter,kg m-2,longitude latitude pft time,,yr,,,
land,cSoilPoolsVr_tavg-sl-hxy-lnd,cPoolVr,land.cSoilPoolsVr.tavg-sl-hxy-lnd.mon.glb,Vertically resolved soil carbon pool sizes,kg m-2,longitude latitude nsoil time,,mon,,,
